,SRR1275356,SRR1275251,SRR1275287,SRR1275364,SRR1275269,SRR1275263,SRR1275338,SRR1274117,SRR1274089,SRR1274125,SRR1275299,SRR1275277,SRR1275370,SRR1275293,SRR1275348,SRR1275245,SRR1275342,SRR1274131,SRR1275346,SRR1275241,SRR1275279,SRR1275297,SRR1275273,SRR1274121,SRR1275336,SRR1274119,SRR1274087,SRR1274113,SRR1275267,SRR1275289,SRR1275283,SRR1275360,SRR1275255,SRR1275358,SRR1275352,SRR1275265,SRR1275368,SRR1275281,SRR1275362,SRR1275257,SRR1275350,SRR1274129,SRR1274123,SRR1275334,SRR1274085,SRR1274111,SRR1275249,SRR1275344,SRR1275243,SRR1275301,SRR1275295,SRR1275271,SRR1274133,SRR1275275,SRR1275291,SRR1275247,SRR1275340,SRR1274115,SRR1274127,SRR1275354,SRR1275259,SRR1275253,SRR1275285,SRR1275366,SRR1275261
A2M,0,1,40,1,19,0,1,8,0,0,231,394,1,0,0,60,0,0,0,0,0,0,0,9,0,49,0,0,0,0,0,0,56,0,0,51,1,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,30,1509,1,0,0,0,0,1714,0,1,7342
AAAS,0,469,0,1,0,0,1,5,1,0,0,0,1,0,33,0,0,16,294,0,60,0,0,73,0,7,0,0,570,905,38,0,33,0,1945,0,1,2,277,0,14,20,91,0,0,0,1,97,0,0,0,231,161,0,106,0,1,8,0,315,0,1,269,1,2193
AACS,64,101,273,1,0,14,1,28,0,0,1673,0,1,0,0,0,0,0,0,0,0,0,4,0,1690,0,42,0,484,664,0,0,0,0,0,19,1,0,0,0,0,0,56,51,0,0,1701,0,0,0,0,0,1,0,0,37,1,0,35,0,0,1,0,490,0
AADAT,0,1,0,1,0,0,1,1,6,50,0,0,1,0,0,0,0,5,0,0,0,0,72,0,0,0,7,0,0,59,0,0,0,0,4,0,1,9,0,0,0,0,5,127,0,0,1,55,0,116,0,0,0,7,0,0,84,0,0,0,0,1,0,1,0
AAGAB,0,1,9,1,0,126,1,5,0,1,32,185,82,0,6,0,0,130,0,0,0,0,0,0,0,1,62,0,15,0,0,0,236,10,0,0,1,1,8,0,0,0,0,0,2,0,1,0,0,54,1134,16,12,0,5,2,1,0,0,0,0,1,0,1,374
AAK1,0,101,103,556,0,14,1,2,0,0,21,2603,867,0,6,0,0,11,21,32,6,116,20,11,933,1,1,1,7663,420,30,6628,82,10,0,32,170,5,0,355,14,0,4,51,3,62,857,0,94,32,52,35,3,10,2850,14,2997,0,1,380,161,1,134,4933,191
AAMDC,0,1,186,1,0,0,1,0,0,0,272,0,1,539,270,0,0,2,1023,195,8,0,0,0,0,0,173,119,0,0,0,0,0,0,0,0,1,1,424,0,0,39,8,0,0,284,1,0,0,14,0,0,3,38,0,59,1,13,217,0,288,1,0,1,500
AAMP,0,1,0,735,28,66,126,0,1,0,0,0,1,18,1241,37,0,0,0,2877,10,0,4,0,617,0,0,12,0,97,1,0,56,0,0,0,89,1,0,0,0,484,0,0,8,0,1,0,100,0,0,38,0,0,3,0,1,0,0,0,0,2930,0,1,119
AAR2,64,1,4,1,0,0,1,0,0,1,137,0,1,0,1111,0,0,0,547,0,0,0,654,7,0,0,1,0,0,0,8,0,0,20,0,0,1,6,168,0,14,0,53,0,0,2813,1,1589,0,0,61,0,0,2,0,0,1,822,1,0,0,1,0,1,0
AARS,1273,1,4,256,0,14,314,0,1,42,0,3551,1,18,21,0,34,222,81,89,3,0,5682,0,0,0,0,0,551,1834,14,124,1295,0,76,124,1,19,2139,20,14,0,2203,0,32,16,1,1610,36,1410,35,2,0,8,1179,15,1,88,0,46,0,1,3,1,38
